vendorId,vendorName,primaryTower,secondaryTowers,hqCountry,ownership,revenueUsd,employeeCount,deliveryCenterCount,deliveryLocations,certifications,keyClients,serviceCapabilities,competitivePosition,strengths,weaknesses,redFlags,pricingModel,financialHealthScore,batch
VND-0799,Genetec,FR,,Canada,Private,409900000,,159+,Global,VMS;Access Control,42500+ customers,FR,VMS Market Leader #1,Open Platform;SaaS Growth,Private Data Limitations,,Software Licensing/SaaS,B+,FR-A
VND-0800,Geniusee,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0801,Geocycle,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Leader,,,,,,
VND-0802,Geomotiv,IT,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,Challenger,,,,,,
VND-0803,Geotab,SC,,Canada,Private,385100000,2996,100+,NA/EMEA/APAC,ISO 27001; SOC 2 Type 2; GDPR compliant; Data certifications,"Fleet operators (100,000+ customers); Commercial vehicles; Logistics companies; Enterprise fleets",SC,Leader - Telematics platform; Global scale; Open ecosystem leadership,Fleet telematics market leader; Open platform/SDK; AI-powered insights; 5M+ vehicles; Data analytics breadth,Telematics specialization; Integration complexity; Competitive intensity; Smaller feature overlap with TMS,Vehicle market volatility; EV transition uncertainty; Competitive consolidation; Customer concentration,Subscription (SaaS); Per-vehicle; Data usage-based,B,SC-A
VND-0804,GetAnnotator,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0805,Getronics,IT,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,Niche Player,,,,,,
VND-0806,Gibbs Die Casting,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,,,,,,,
VND-0807,GitLab,IT,,US,Public,$759.25M (FY2024),2375,12,NA/EMEA/APAC/LATAM,ISO 27001;SOC 2;FedRAMP;PCI-DSS;HIPAA,Global enterprises; Fortune 500; government; open-source communities; DevOps teams; mid-market to enterprise,IT,DevSecOps platform completeness; AI integration; all-remote company; 30%+ YoY revenue growth; profitability achieved,Intense competition from GitHub (Microsoft); market consolidation pressure; all-remote team in competitive talent market; customer acquisition cost rising,GitHub dominance in developer mindshare; competitive pricing pressure from GitHub; market consolidation concerns; remote-first talent competition,Per-user SaaS; tiered subscription plans; enterprise contracts; open-source community,A- - Strong growth and profitability but intense GitHub competition,,IT-B
VND-0808,Global Testing Laboratories,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,,,,,,,
VND-0809,Global Utility Services,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,,,,,,,
VND-0810,GoldFynch,PS,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,PS,,,,,,,
VND-0811,Google Cloud,AI,IT,United States,Public,13600000000 (Q2 2025),,15+,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2, FedRAMP, PCI-DSS, HIPAA",9 of 10 leading AI labs; Walmart; Booking.com; Capital One; Aetna,AI,Strong #2 position in cloud AI; 13% market share vs AWS 30%,45% share of new cloud GenAI case studies; Gemini AI integration; strong in enterprise AI; rapid growth 32% YoY,Azure dominance; requires cloud commitment; less established in some verticals,Lower case study adoption vs market share but improving,Usage-based cloud pricing; variable compute costs,A,AI
VND-0812,Google Fact Check Explorer,COP,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,COP,,,,,,,
VND-0813,Gordian,FR,,United States,Private (Fortive owned),$300000000 (estimated),,,NA/EMEA,,Construction professionals; FM teams; estimators; asset managers,FR,Leading construction cost database & FM software provider,Industry-standard RSMeans data; 92000+ cost line items; established customer base,Software competition; database updating complexity; customer concentration in construction,Acquired by Fortive 2018 for $775M; now private; estimated $300M+ revenue (2024),SaaS subscription + data licensing,B,FR-C
VND-0814,Gradeup,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0815,Grading Technologies,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0816,Grainger,MO,,USA,Public,17200000000,26000,331,NA/EMEA/APAC,ISO 9001,Fortune 500; Government; Healthcare,MO,Top MRO distributor,Scale; Omnichannel reach; Digital capabilities,Margin compression; Competitive intensity,Recent profit pressure,Transaction,A,MO
VND-0817,GreenStruxure,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,Major Contender,,,,,,
VND-0818,Greenhouse,HR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,HR,Star Performer,,,,,,
VND-0819,Gretel.ai,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0820,Group,FR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,FR,Leader Leader Leader Leader Top Vendor,Vendor name classification unclear; generic term; likely misclassified; insufficient information,,,,,FR-C
VND-0821,GroupM,PS,,USA,WPP subsidiary,$14.3B,11500-24600+,175+ locations,Global,,Fortune 500 brands; Media companies,PS,"World's leading media investment company, $60B+ annual media managed",Large conglomerate dynamics; Media market volatility,None major,Media buying/investment management,A,,PS-C
VND-0822,Growing,FR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,FR,PCT Top 100 (2024) Inc. 5000 N/A,Vendor name classification unclear; no substantive public information found; likely misclassified or brand name,,,,,FR-C
VND-0824,Guardian Life,HR,,USA,Private/Mutual,"$16,500,000,000",7472,Multiple,NEEDS_RESEARCH,,,HR,Insurance Carrier,Stable mutual structure; Strong capital position; Focus on employee benefits,Not an HR tech vendor; Traditional insurance model; Limited platform play,Mutual structure limits growth capital; Legacy business model; Disruption risk,Product-based,A,HR
VND-0825,Guidehouse,PS,,USA,PE-backed (Bain Capital),$3-3.8B,17000-18000,55+ locations,Global,,Federal government; Defense; Healthcare; Financial services,PS,Fast-growing integrated consultancy,"Rapid growth (600M to 3B in 5 years), Integrated commercial/public sector, Technology-enabled",PE ownership pressures; Post-acquisition integration challenges,None major,Consulting/advisory engagements,A,PS-C
VND-0826,H.B. Maynard,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,,,,,,,
VND-0827,H2O.ai,AI,,United States,Private,$67000000-72500000,~400,7+,"NA, EMEA, APAC","ISO 27001, SOC 2 (likely)",Aetna; Booking.com; Walgreens; Capital One; Wells Fargo,AI,Democratized AutoML leader; $246M total funding,Open-source + enterprise hybrid; Established customer base (tripled in recent rounds); Well-funded,Limited market penetration vs Databricks/DataRobot; Not pursuing IPO; Competitive pressure from tech giants,Vulnerability to economic cycles in enterprise spending,Freemium + enterprise subscription; custom licensing,B,AI
VND-0828,HB NEXT Energy,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,,,,,,,
VND-0829,HBR Consulting,PS,,USA,Private,$Unknown,500-1000,3-5 locations,NA only,,Law firms; Legal departments,PS,Niche legal consulting specialist,"Specialized legal consulting expertise, Small dedicated team, Professional development focus",Small domestic-only presence; Niche market,Limited growth outside legal sector,Engagement-based consulting,B,PS-C
VND-0830,HP (Managed Print),FR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,FR,Major Player,,,,,,
VND-0831,HP/HPE,IT,,US,Public,$34.3B+ HPE total,65700+,100+,NA/EMEA/APAC/LATAM/Global,ISO 27001;SOC 2;FedRAMP;PCI-DSS;HIPAA,Global enterprises; Fortune 500; government; service providers; cloud providers; all industries,IT,Global infrastructure leader; Juniper acquisition (networking); AI infrastructure; strong finance; 15% Q4 growth,Legacy hardware portfolio drag; market saturation in traditional infrastructure; complex organizational integration; cloud-native competition,Juniper integration complexity; market commoditization in compute; geopolitical supply chain risks; innovation execution; portfolio rationalization required,Per-system; per-license; subscription SaaS; consumption-based cloud offerings,A - Strong financials but execution on integrations and cloud transition critical,,IT-B
VND-0832,HPE,IT,,US,Public,$34.3B+,65700+,100+,NA/EMEA/APAC/LATAM,ISO 27001;SOC 2;FedRAMP;PCI-DSS;HIPAA,Global enterprises; Fortune 500; cloud providers; government; all vertical markets; large service providers,IT,Juniper acquisition (63% YoY networking growth); AI system infrastructure (16% sequential growth); strong FCF ($2.3B); market consolidation play,Complex portfolio post-Juniper; legacy product integration challenges; market commoditization; execution risk on multiple fronts; cloud-native competition,Juniper integration execution critical; portfolio rationalization needed; competitive pressure from hyperscalers; innovation roadmap clarity needed; profitability pressure,Per-system; per-license; subscription SaaS; consumption GreenLake model; capacity-based pricing,A - Strong financials but integration execution and cloud transition critical,,IT-B
VND-0833,HQTS,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,,,,,,,
VND-0834,HSI,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,,,,,,,
VND-0835,HackerOne,IT,AI,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,,,,,,,
VND-0836,Hackmamba,COP,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,COP,,,,,,,
VND-0837,Hallcon,FR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,FR,Major Player,,,,,,
VND-0838,Hanwha Vision,FR,,South Korea,Subsidiary,370000000,1800,Global,Global,Video Security,Retail;Oil/Gas;Transportation;Banking,FR,Video Surveillance Growth,AI Cameras;Americas Growth,Tariff Exposure;Integration,Tariff/geopolitical risk,Hardware + Licensing,B,FR-A
VND-0839,Harness,IT,,United States,Private (VC Series E; $5.5B val),$250M+ ARR (2025 target); $147-252M,"1,200+ (Dec 24)",14+,"NA, EMEA, APAC",ISO 27001; SOC 2 (implied),Kroger; Carvana; United; Vodafone; Genentech; LexisNexis,IT,Leader: AI DevOps/continuous delivery,40%+ ARR growth; strong market; 129%+ NRR (enterprise); recent Traceable acquisition,GitLab/JFrog/CloudBees competition; pre-IPO execution risk; high CAC,None significant; strong funding,SaaS subscription; per-user/module,A,IT-A
VND-0840,HashiCorp,IT,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,Star Performer,,,,,,
VND-0841,Haven Metrology,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,,,,,,,
VND-0842,Haworth (Integrated Services),FR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,FR,Major Player,,,,,,
VND-0843,Hay Group,HR,,USA,Acquired (Korn Ferry),"$2,700,000,000",9076,87,NA/EMEA/APAC,,,HR,Consulting Sub,Part of Korn Ferry; Strong organizational design; Talent assessment expertise,No longer independent; Integrated into Korn Ferry; Less focused on HR tech,Acquisition risk (integration); Consultant-centric model; Less tech-focused; Strategic uncertainty,Project-based,B+,HR
VND-0844,Hazy,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0845,Hearthside Food,MO,,USA,PE-backed,3500000000,12100,28,NEEDS_RESEARCH,FSSC 22000; BRC,Major food brands,MO,Top food co-manufacturer,Scale; Diverse capabilities; Strong customer relationships,High leverage; Earnings volatility,Recent Chapter 11; emerged as Maker's Pride in 2025,Project,C,MO
VND-0846,HelpSquad,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,,,,,,,
VND-0847,HelpSquad BPO,COP,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,COP,,,,,,,
VND-0848,Henkels & McCoy,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,Major Contender,,,,,,
VND-0849,Hertz,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Leader,,,,,,
VND-0850,HiTech Digital,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0851,HiddenLayer,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0853,HighJump,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0854,Hitachi Energy,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,Major Contender,,,,,,
VND-0855,Hive AI,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0856,Holman,FR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,FR,Leader Leader Leader Leader Leader,Vendor name classification unclear; no substantive public information found; possible regional provider,,,,,FR-C
VND-0857,Honeywell,FR,,USA,Public,38500000000,130000,50+,NA;EMEA;APAC;LATAM,Building Automation,Enterprise;Industrial;Government,FR,Building Automation Leader,Integrated Platform;Market Breadth,Margin Contraction;Cost Inflation,,Solutions-based,A,FR-A
VND-0858,Hoodzpah,PS,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,PS,Leader,,,,,,
VND-0859,Horizon Media,PS,,USA,Independent,,2300,3,"New York, Los Angeles, Toronto, Amsterdam",,Major brands across multiple sectors,PS,Third largest US media agency,"Largest independent media agency, $8.7B billings, award-winning, strong culture","Independent limits scale vs. holding companies, private equity pressure possible",Possible future PE acquisition,Media buying/Billings,A,PS-B
VND-0860,Houlihan Lokey,PS,,USA,Public,$1B+ (estimated),2600+,Global,Global,,"Fortune 500, Institutional investors, PE firms, Distressed companies",PS,#1 M&A advisor (10 years); #1 Restructuring (11 years),"Market leadership across categories, Independent advisory, Specialized expertise",M&A market dependent; Mid-market focus may limit growth,None detected,Transaction/engagement-based advisory,A,PS-C
VND-0861,HqO,FR,,United States,Private,$500000000 (estimated),1000,,Global (115 countries),,Enterprise real estate operations; workplace managers; 40% Fortune 500,FR,Leading workplace experience software platform,16.3M+ user base; integrated platform; Fortune 500 traction; analytics depth,Hybrid work adoption uncertainty; workplace RTO risk; market competition; customer concentration,Series D $50M Oct 2023; total funding $200M+; Koch Industries investor,SaaS subscription,B,FR-C
VND-0862,Hub Group,SC,,USA,Public (HUBG),5000000000+,5001-10000,29+,NA (US/Canada focus),"ISO 27001, SOC 2",Retail; Manufacturing; Consumer Goods,SC,Market Leader in Intermodal,Large intermodal fleet; Tech-enabled; Acquired CaseStack,Capital intensive; Integration challenges; Complex M&A,Integration risks,Transaction/Project,A,SC-C
VND-0863,Huge,IT,,US,Private,$408.1M-$574.3M range,1317+,18,NA/EMEA/APAC/LATAM,ISO 27001;SOC 2;PCI-DSS (varies by division),Global enterprises; Fortune 500; technology companies; retail; financial services; mid-market to enterprise,IT,Digital agency scale; diverse service offerings; global footprint; brand/creative capabilities; Hero Digital acquisition (2024),Agency business model scalability challenges; project-based revenue; talent retention in competitive market; margin compression; client concentration,Project-based revenue volatility; large staff overhead ($376K/employee); client concentration risks; creative commoditization; agency M&A consolidation trend,Per-project pricing; time & materials; retainer; outcome-based engagements; managed services,B - Project-based business model creates revenue volatility and margin challenges,,IT-B
VND-0864,HumanSignal,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0865,Humanloop,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0866,HungerHub,FR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,FR,,,,,,,
VND-0867,Hungry,FR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,FR,,,,,,,
VND-0868,Hyperproof,IT,,US,VC-backed (growth stage),$44.3M estimated,118-200,5,NA/EMEA/APAC,ISO 27001;SOC 2;FedRAMP;PCI-DSS;HIPAA;SOX,Mid-market enterprises; high-growth companies; large enterprises (Outreach; Motorola; Nutanix; AppsLovin; Veeva),IT,Emerging leader in risk/compliance automation; 328% revenue growth (2021); 140% customer growth (2023); $40M Series B funding (2023),Niche market (risk/compliance); VC burn rate sustainability; smaller customer base; limited international presence; competitive response from larger GRC vendors,Early-stage VC company with high burn; market narrowness (compliance); competitive response from Workiva/AuditBoard; funding sustainability questions; execution risk,Per-control; per-evidence item; per-user SaaS; subscription-based; enterprise contracts,B - Growing rapidly but VC funding burn and market narrowness create risks,,IT-B
VND-0869,IARM,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0870,IBM AI Fairness 360,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0871,IC System,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,Contender,,,,,,
VND-0872,ICF,EN,,USA,Public,$2.0B,9000-10000,75+,Global,ISO 27001; Unknown,Govt agencies; utilities,EN,Energy/policy consulting leader,Climate/energy expertise; digital \+ advisory,Consulting intensity; utilization risk,Government budget exposure,Consulting FTE; project-based; fixed-price,B,EN-A
VND-0873,ICON plc,CL,,Ireland,Public,"$3,800,000,000",38000,150,47 countries (NA/EMEA/APAC/LATAM),"ISO 27001, SOC 2 Type II, HIPAA-ready",Top 20 global pharma; Biotech companies,CL,Leader,Decentralized trial expertise; Strong hybrid trial capabilities; Regulatory excellence,Integration complexity from merger; Scale limitations,None significant,FTE-based; Project-based,A,SPEC
VND-0874,ICR Group,PS,,USA,Private,$119.7M,352,11,NA (multiple US locations),,"Paul Gutierrez, John Sorensen, Salesforce, Tesla",PS,Tier 2 - Mid-market leader in IR/communications,Strategic communications expertise; extensive investor relations network; strong M&A advisory capabilities,Limited international presence outside major metros; concentrated client base in finance/tech,Recently downsized workforce; competition from larger firms,Project-based; retainer; transaction-based,B,PS-D
VND-0875,IDC,PS,,USA,Private (Panhai Holdings),$442.1M,1300,50+,"NA, EMEA, APAC",,"Fortune 500 companies across tech/finance/telecom; over 2,400 clients globally",PS,Market research leader in IT/ICT,Global presence in 50+ countries; established authority on market intelligence; comprehensive research platforms,Heavy reliance on subscription-based model creates revenue vulnerability; pricing pressure in competitive research market,Ownership by Chinese holding company may create geopolitical concerns for some clients,Subscription; project-based; advisory retainers,B,PS-D
VND-0876,IDEO,IT,,US,Private/Partnership,$30M-$300M revenue range (declining),700+ (down 50% from peak),20,NA/EMEA/APAC/LATAM,ISO 27001;SOC 2;Various certifications by project,Global enterprises; Fortune 500; sustainability organizations; government; innovation-focused companies; education,IT,Design thinking pioneer; human-centered design methodology; global brand; multidisciplinary expertise; social impact work,Significant revenue decline (from $300M to $100M-$30M reported); 50% workforce reduction; project-based business model volatility; commoditized design thinking,Severe revenue decline and ongoing layoffs indicate structural business model challenges; heavy staff overhead unsustainable; design thinking commoditization; AI-driven design tools threat; client in-house design capabilities eroding market opportunity,Per-project pricing; per-engagement; retainer basis; outcome-based partnerships,C - Severe financial and operational challenges; structural business model issues,,IT-B
VND-0877,IFS,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Leader,,,,,,
VND-0878,IHI Terrasun,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,,,,,,,
VND-0879,INKLUSIVE,PS,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,PS,Leader,,,,,,PS-D
VND-0880,IQ BackOffice,FA,,United States,Private,"$150,000,000",750,3,3 countries (NA/APAC),"ISO 27001, SOC 2 Type II, HIPAA, SSAE 18",Mid-market manufacturing; Hospitality; Education; Financial services,FA,Leader,AP/AR automation; High accuracy; 20+ year track record; Compliance focus,Limited geographic footprint; Smaller customer base; Lower brand awareness,None significant,Per-FTE; Per-transaction; RPA-based,B,SPEC
VND-0881,IQVIA,CL,,United States,Public,"$15,400,000,000",88000,566,100+ countries (NA/EMEA/APAC/LATAM),"ISO 27001, SOC 2",Pfizer; Novartis; Johnson & Johnson; Roche; AstraZeneca,CL,Leader,Global scale; Integrated technology platform; Extensive data assets,Complexity in service delivery; High pricing; Market saturation,Integration post-merger; Mature market consolidation,Transaction-based; Project-based; Outcome-based,A,SPEC
VND-0882,IQVIA Laboratories,CL,,United States,Public,,,12,Global (NA/EMEA/APAC/LATAM),"ISO 27001, SOC 2, HIPAA, CAP accredited",Top pharma; Biotech companies,CL,Leader,Centralized laboratory services; Bioanalytical expertise; FDA compliance; Quality leadership,Integration with IQVIA parent systems; Service complexity; Siloed offerings,None significant,Specimen-based; Transaction-based; FTE-based,A,SPEC
VND-0883,IREC,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,Contender,,,,,,
VND-0884,IS Partners,EN,,USA,Private,\~$334M (parent),1400+,40,NA; EMEA,,Real-estate/energy customers,EN,Energy/engineering consulting provider,Multi-service; growth profile,Energy a subset of mixed portfolio,CRE exposure; cyclicality,Consulting FTE; project-based,B,EN-A
VND-0885,ISS,FR,,Denmark,Public,11200000000,325000,50+,NA;EMEA;APAC;LATAM,ISO 27001;SOC 2,Fortune 500;Global Enterprise,FR,Market Leader #1 FM Global,Scale;Integrated Services;Brand,Labor Cost Inflation;Integration Complexity,,FTE/Contract,A,FR-A
VND-0886,ISS Guckenheimer,FR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,FR,Major Player,,,,,,
VND-0887,IXICO plc,CL,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CL,,,,,,,
VND-0888,Icertis,PS,,US,PE-backed Private,"$300M+ ARR (2024), est. \~$300–350M revenue",1746,8,NA/EMEA/APAC,"ISO 27001, ISO 27017, ISO 27018, SOC 2 Type I/II, GDPR-compliant",\>250 global enterprises; 30%+ of Fortune 100; SAP; Microsoft; Adobe,PS,Leader in AI-powered CLM / contract intelligence,"Enterprise CLM focus; deep AI capabilities; strong large-enterprise footprint; rich partner ecosystem (SAP, Microsoft, Salesforce)","High enterprise price point; concentrated in large enterprise (limited mid-market); strong competition (DocuSign, Ironclad, SirionLabs)",None material publicly; typical scaling and competition risks,SaaS subscription (ARR-based) plus implementation projects and optional managed services; largely outcome-tied to CLM adoption,A-,PS-A
VND-0889,IDEO,PS,,US,Private (Kyu collective member),$300M,1349,3,NA/EMEA/APAC,,"Fortune 500 companies, Tech firms, Health/social impact orgs, Government agencies",PS,Leader in human-centered design,"Design thinking pioneer, Multidisciplinary teams, Strong brand for innovation, Social impact focus","Expensive engagement rates limit SMB access, Consulting-heavy (lower margin), Design thinking commoditization","Ownership transition to Kyu collective model (less independent), Leadership changes","Project-based engagements, Retainer agreements, Workshop/training",B+,PS-A
VND-0890,Image Core Lab (ICL),CL,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CL,,,,,,,
VND-0891,Imaginary Cloud,IT,,Portugal,Independent,10M,100,3,EMEA (Portugal/UK); NA (USA),ISO 27001; SOC 2 Type II,Nokia; BNP Paribas; Sage; ThermoFisher,IT,Top Rated Dev Shop (Clutch),Rapid development process; Strong react/node expertise; Nearshore EU coverage,Limited time zone coverage for APAC; Smaller scale for massive enterprise deals,,Project; Staff Augmentation,A-,IT-D
VND-0892,Impark,FR,,Canada,Private,$3100000000 CAD,,,NA/Canada,,Municipal/commercial parking facilities; parking operators,FR,Leading North American parking management operator,Established parking network; technology systems; facilities management expertise,Dependent on urban office return; parking demand risk; EV/autonomous vehicle exposure,Parking industry headwinds post-COVID; $3.1B revenue (2025 est); private ownership,Monthly parking contracts + management fees,C,FR-C
VND-0893,Increditors,ME,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,ME,Major Contender,,,,,,
VND-0894,Indicate Tech,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,,,,,,,
VND-0895,Infios (Körber Supply Chain Software),SC,,Germany,Körber subsidiary,,,1 (Software),Global (Cloud/On-premise),,5000+ customers across 70 countries (manufacturing; logistics),SC,Global Software Challenger,Unified supply chain software; Advanced WCS/WMS/TMS integration; 5000+ customers; 70 countries; Modular architecture,Software-only (requires implementation); Integration complexity; Implementation risk,Implementation risk,Software licensing,A-,SC-C
VND-0896,Influential,PS,,USA,Acquired by Publicis,150000000,300+,,Global,,"300+ brands (McDonald's, Hilton, Pepsi, NFL)",PS,World's largest influencer marketing platform,"3.5M+ creator network, AI platform, 90% global influencer coverage, rapid growth","Now Publicis subsidiary may limit independence, creator economy volatility",Acquisition by Publicis may cause culture/service changes,Campaign/Outcome-based,A,PS-B
VND-0897,Infoblox,IT,,United States,PE-backed,$931 million,2000,,"NA, EMEA, APAC",ISO 27001; SOC 2,Fortune 100 companies; Major carriers; Financial institutions,IT,Leader in DNS/DHCP/IPAM management,Strong DNS/DHCP automation; SASE capabilities; Threat intelligence integration,Limited endpoint management capabilities; Smaller cloud presence vs. competitors,,Subscription; Licensing,A,IT-C
VND-0898,Infopro Learning,COP,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,COP,,,,,,,
VND-0899,Infor,SC,,USA,Private (Koch Industries),3200000000,17000,100+,NA/EMEA/APAC/LATAM,ISO 27001; SOC 2 Type 2; Industry certifications,Enterprise manufacturers; Process industries; Retail; Healthcare; Discrete manufacturing,SC,Leader - ERP scale; Cloud maturity; Industry-specific solutions,"Industry-specific ERP; CloudSuite cloud offering; Extensive cloud customer base (15,000+); Innovation",Product portfolio complexity; Integration overhead; Market perception legacy; Feature parity challenges,Koch ownership opacity; Market sentiment; Feature consolidation; Cloud migration execution,Subscription (SaaS); Perpetual licensing; Professional Services,B,SC-A
VND-0900,Informatica MDM,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0901,Infosec,IT,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,Star Performer,,,,,,
VND-0902,Inizio Engage,CL,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CL,,,,,,,
VND-0903,Innosight,PS,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,PS,Leader,,,,,,
VND-0905,Inoxoft,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0906,Insight Sourcing,PS,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,PS,,,,,,,
VND-0907,Integral Recoveries,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,,,,,,,
VND-0908,Interbrand,PS,,US,Omnicom subsidiary (Public),,,,NEEDS_RESEARCH,,"Fortune 500 companies, Global brands",PS,Leader in brand valuation and strategy,"Best Global Brands ranking (annual prestige), Deep brand expertise, Omnicom resources","Omnicom integration overhead, Less independent positioning, Consulting fees not disclosed separately",,,,PS-A
